Id, Line, CharNumber, Original, Mutant
0, 11, 28, +, -
1, 11, 28, +, *
2, 11, 28, +, /
3, 11, 32, +, -
4, 11, 32, +, *
5, 11, 32, +, /
6, 39, 24, +, -
7, 39, 24, +, *
8, 39, 24, +, /
9, 42, 24, -, +
10, 42, 24, -, *
11, 42, 24, -, /
12, 45, 24, *, +
13, 45, 24, *, -
14, 45, 24, *, /
15, 48, 24, /, +
16, 48, 24, /, -
17, 48, 24, /, *
18, 60, 41, ++, --
19, 60, 41, +, -
20, 60, 41, +, *
21, 60, 41, +, /
22, 60, 42, +, -
23, 60, 42, +, *
24, 60, 42, +, /
25, 113, 18, *, +
26, 113, 18, *, -
27, 113, 18, *, /
28, 114, 18, /, +
29, 114, 18, /, -
30, 114, 18, /, *
31, 117, 18, +, -
32, 117, 18, +, *
33, 117, 18, +, /
34, 118, 18, -, +
35, 118, 18, -, *
36, 118, 18, -, /

Type, Count
--, 1
*, 10
+, 6
-, 10
/, 10
